具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
工农大街,群力新苑东区,2室1厅,72,10910,南 北,66,6,简装,板楼
工农大街,迎宾小区,2室1厅,47,8868,东 西,53,7,简装,板楼
公路大桥,共乐西头道街,2室1厅,72,5884,南 北,122.38,8,简装,板楼
安字片,安固街,2室1厅,59.8,8239,南 北,72.59,8,简装,板楼
建国公园,建国街,2室1厅,50,8462,东 西,59.09,7,其他,板楼
工农大街,报达文化嘉园第一期,2室1厅,55,8704,东,63.19,7,简装,板楼
兆麟校,朝阳胡同,1室1厅,49.5,13693,南,36.15,7,简装,板楼
西大桥商圈,欧洲新城,1室0厅,65,12706,东南,51.16,17,精装,板塔结合
群力新区,锦江绿色家园,3室2厅,140,10938,南 北,128,7,其他,板楼
公路大桥,哈药路,3室1厅,69.8,8526,南 北,81.87,7,精装,板楼
公路大桥,河曲街,2室1厅,44,8302,东 西,53,7,简装,板楼
工农大街,群力新苑东区,3室1厅,140,11405,南 西 北,122.76,28,精装,暂无数据
工农大街,群力新苑东区,2室1厅,74.4,11553,南 北,64.4,6,简装,板楼
群力新区,河松小区二期,2室2厅,113.8,10229,南 北,111.26,7,精装,板楼
群力新区,群力观江国际,3室2厅,303,19973,南 北,151.71,30,精装,板楼
顾乡大街,达江小区,2室1厅,75,9242,东 西,81.16,7,精装,板楼
工农大街,报达文化嘉园第一期,2室1厅,52.5,9775,西,53.71,7,简装,板楼
顾乡大街,乡社街西区,1室1厅,26,7429,东北,35,7,精装,板塔结合
群力新区,河政花园（公务员小区）,3室2厅,152,12064,南 北,126,7,精装,板楼
群力新区,瑞江观景花园,2室1厅,94.8,8944,东 西,106,8,精装,板楼
公路大桥,民安小区(道里区),1室1厅,29,9043,东南,32.07,8,精装,塔楼
顾乡大街,顾乡大街,1室1厅,23,6572,北,35,7,精装,板楼
工农大街,迎宾小区,2室1厅,52,8350,南 北,62.28,7,精装,板楼
公路大桥,民安小区(道里区),2室1厅,59.8,9641,南 北,62.03,8,精装,板楼
公路大桥,建国北四道街,2室1厅,72.8,8191,南 北,88.88,8,精装,板楼
哈西商圈,红星城,1室1厅,70,10993,南,63.68,27,精装,板楼
兆麟校,地段街,3室1厅,85,11972,南 北,71,8,简装,塔楼
顾乡凯德广场,南方花园,2室1厅,84,9167,东 西,91.64,8,简装,板楼
哈西商圈,科研小区,3室2厅,105,8615,南 北,121.89,7,精装,板楼
兆麟校,斜角街,1室1厅,42,8698,南,48.29,7,简装,板楼
西大桥商圈,欧洲新城,3室1厅,120,8164,东 西南,147,8,精装,板塔结合
公路大桥,通达街(道里区),3室2厅,84.8,5839,南 北,145.25,8,简装,板楼
公路大桥,建议街,1室1厅,38,8260,东南,46.01,7,精装,板楼
群力新区,中兴城,2室1厅,52,10113,东,51.42,25,其他,板楼
顾乡大街,乡社街西区,2室1厅,62.8,9282,南 北,67.66,7,精装,板塔结合
公路大桥,光华小区,1室1厅,26,8262,西南 东北,31.47,7,精装,板楼
公路大桥,建国南头道街,2室1厅,44,8863,南,49.65,8,精装,板楼
群力新区,恒盛豪庭,3室2厅,230,17425,南 北,132,24,简装,板楼
群力新区,河松小区三期,3室2厅,118,7469,南 北,158,7,简装,板塔结合
公路大桥,民安小区(道里区),2室1厅,42.5,7346,南 北,57.86,7,精装,板楼
群力新区,天鹅湾·赫郡,3室2厅,235,16369,南 西 北,143.57,37,精装,板楼
公路大桥,河广街,2室1厅,49,8910,南 北,55,8,精装,板楼
建国公园,松滨里小区,2室1厅,75,6945,东 西,108,8,简装,板楼
群力新区,河松小区一期,2室1厅,85,6995,东 西,121.52,7,简装,板楼
安字片,安国街,2室1厅,70.8,9834,南 北,72,9,精装,板楼
安字片,安国街,1室1厅,26.5,8031,南,33,8,简装,板塔结合
