具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
南岗会展商圈,红旗示范新区,2室1厅,69.8,13042,南 北,53.52,8,简装,板楼
儿童公园,比乐街,2室1厅,75,9147,南 北,82,8,精装,板楼
革新教堂,士课街(巴山街),2室1厅,66.6,9515,南 北,70,6,精装,板楼
新发小区大润发,海富名都城,2室1厅,134,13815,西 南,97,16,精装,板楼
师大附小沙曼小区,沙曼小区五街区,1室0厅,19.8,6600,东,30,8,简装,板楼
师大附小沙曼小区,附中小区,2室1厅,78,8339,南 北,93.54,6,简装,板楼
团结萧红校哈站北秀宾馆,利群街,2室1厅,53.6,9980,西南,53.71,6,毛坯,板楼
西大桥商圈,苗圃小区,3室2厅,155.8,8893,东,175.21,18,精装,塔楼
仪兴商圈,仪兴小区,2室1厅,79.5,8282,南 北,96,8,精装,板楼
西大桥商圈,元士街,2室1厅,66.8,11518,南 北,58,7,简装,板楼
西大桥商圈,木兰街,2室1厅,68,13045,南 北,52.13,8,简装,板楼
师大附小沙曼小区,沙曼小区六街区,3室1厅,65,9353,南 北,69.5,7,简装,板楼
团结萧红校哈站北秀宾馆,海城街,2室1厅,56.8,10924,东 西,52,7,简装,暂无数据
哈西商圈,涧桥西畔,1室1厅,66,14815,南,44.55,27,简装,板楼
团结萧红校哈站北秀宾馆,民益街,3室1厅,67,9227,南 北,72.62,6,简装,板楼
团结萧红校哈站北秀宾馆,邮政街(上夹树街),2室1厅,38,7657,南 北,49.63,6,简装,板楼
哈特百脑汇教化工大,桥北小区,2室1厅,125,11062,南 北,113,7,精装,板楼
宣西宣庆体院,宣西小区,2室1厅,75,6697,南 北,112,8,简装,板楼
宣西宣庆体院,体院家属楼,3室1厅,78,7429,东 西,105,6,简装,板楼
花园铁岭继红校,吉林街,2室1厅,97,16028,东 西,60.52,8,简装,板楼
哈西商圈,福顺尚都,1室1厅,79.5,12626,东,62.97,30,其他,板楼
团结萧红校哈站北秀宾馆,松花江街,1室1厅,41.5,11875,东南,34.95,7,毛坯,板楼
南岗分局十三中,阿继科技园,4室1厅,178,10775,南 北,165.2,12,简装,板楼
哈特百脑汇教化工大,砖街,1室1厅,31.8,8203,西,38.77,7,简装,板塔结合
哈西商圈,辰能·溪树庭院南区,3室1厅,249.8,19216,南 北 东,130,32,精装,板楼
哈特百脑汇教化工大,桥北小区,2室1厅,52,10400,南 北,50,7,简装,板楼
西大桥商圈,元士街,2室1厅,69.8,10739,南 北,65,7,其他,板楼
西大桥商圈,焊接小区,2室0厅,62,12398,南,50.01,5,简装,板楼
南岗分局十三中,龙福家园(南岗区),2室1厅,70,10912,南 北,64.15,7,简装,板楼
团结萧红校哈站北秀宾馆,满洲里街,2室1厅,72,10000,南,72,8,简装,板楼
西大桥商圈,世纪嘉园(南岗区),3室1厅,195,15235,南 北,128,33,其他,板楼
新发小区大润发,新发小区C区,2室1厅,30,7143,南 北,42,7,精装,暂无数据
师大附小沙曼小区,沙曼小区一街区,2室1厅,61,9385,东 西,65,7,简装,板塔结合
南岗会展商圈,盟科视界,2室1厅,68.8,11861,东,58.01,6,简装,暂无数据
哈西商圈,福顺尚都,1室0厅,38.5,12289,北,31.33,31,简装,板楼
海城市场商圈,文道花园,2室1厅,86.8,12962,东南 东北,66.97,21,精装,板楼
哈西商圈,龙泽金水尚都西区,2室1厅,107,15580,南,68.68,31,其他,板楼
哈特百脑汇教化工大,铁工街,2室1厅,35,7447,南 北,47,6,简装,板楼
哈特百脑汇教化工大,下夹树街,1室1厅,48,12973,南,37,7,简装,板楼
团结萧红校哈站北秀宾馆,满洲里街,2室1厅,68,10462,南 北,65,6,简装,板楼
哈特百脑汇教化工大,上夹树街,2室1厅,66,11507,南 北,57.36,8,精装,板楼
南岗分局十三中,华山小区,2室1厅,42.8,8231,南 北,52,7,简装,板楼
团结萧红校哈站北秀宾馆,利群街,1室1厅,45.8,12263,西南,37.35,7,精装,板塔结合
马家沟校大成街,文教街,1室0厅,20.8,8320,东,25,7,简装,板楼
哈西商圈,壹品新境,3室2厅,156.5,13715,南 北,114.11,28,精装,板楼
哈南商圈,鲁商·松江新城,2室1厅,140,14990,北 南,93.4,24,精装,板楼
南岗会展商圈,信恒现代城,2室1厅,49,7165,东 西,68.39,8,其他,板塔结合
南岗会展商圈,信恒现代城,2室1厅,49.8,9185,南 北,54.22,7,精装,板塔结合
西大桥商圈,八元街,2室1厅,125,14368,东南,87,12,精装,暂无数据
哈西商圈,壹品新境,1室1厅,82,12657,南,64.79,28,精装,板楼
革新教堂,黑山街,1室1厅,35.5,10411,南,34.1,7,精装,板楼
儿童公园,比乐街,3室1厅,67.8,7472,南 北,90.75,7,简装,板楼
哈西商圈,医大二院家属院,3室1厅,67.5,8025,南 北,84.12,6,简装,板楼
哈西商圈,阳光家园北区,1室1厅,46.8,9255,南 北,50.57,7,简装,板楼
哈西商圈,壹品新境,2室1厅,149.8,15422,东 西,97.14,29,精装,板楼
哈西商圈,学府绿景苑,2室2厅,37,7160,南 北,51.68,7,精装,板楼
哈西商圈,尚熙雅轩,2室1厅,135,13107,南 北,103,24,简装,板楼
团结萧红校哈站北秀宾馆,利群街,2室1厅,51,9273,南,55,6,简装,板塔结合
